#{"t_start": 1734332524.8439288, "env_id": "CartPole-v1"}
r,l,t
16.0,16,190.767145
61.0,61,190.845325
15.0,15,190.86182
21.0,21,190.876826
18.0,18,190.908507
16.0,16,190.924351
16.0,16,190.939983
15.0,15,190.955609
17.0,17,190.971257
16.0,16,191.002684
13.0,13,191.018766
16.0,16,191.0344
94.0,94,192.151274
93.0,93,192.261633
106.0,106,193.331705
500.0,500,195.893973
500.0,500,198.441223
123.0,123,198.598197
126.0,126,198.739973
136.0,136,199.873475
136.0,136,201.005922
47.0,47,201.052777
53.0,53,201.115394
50.0,50,201.17811
47.0,47,201.241065
47.0,47,201.303852
36.0,36,202.293625
28.0,28,202.324963
17.0,17,202.356211
15.0,15,202.372896
18.0,18,202.387902
31.0,31,202.434971
18.0,18,202.45068
17.0,17,202.482561
34.0,34,202.51422
26.0,26,202.545572
92.0,92,203.64711
90.0,90,203.757383
94.0,94,204.873242
312.0,312,206.240534
146.0,146,206.430036
154.0,154,207.622669
107.0,107,207.747967
182.0,182,208.929767
416.0,416,211.428526
47.0,47,211.475591
42.0,42,211.522951
45.0,45,211.586177
40.0,40,211.64956
243.0,243,212.921585
500.0,500,215.46744
500.0,500,217.981403
358.0,358,220.387761
121.0,121,220.51368
140.0,140,221.661175
61.0,61,221.740003
49.0,49,221.802625
57.0,57,221.881346
57.0,57,221.959671
500.0,500,224.522291
262.0,262,225.811642
93.0,93,226.908827
41.0,41,226.95619
55.0,55,227.01967
91.0,91,228.104761
61.0,61,228.183155
24.0,24,228.199014
47.0,47,228.26167
56.0,56,228.324765
38.0,38,228.387849
42.0,42,229.397591
82.0,82,229.489402
73.0,73,229.583777
74.0,74,229.67818
500.0,500,232.303548
39.0,39,233.308319
35.0,35,233.356586
48.0,48,233.419209
91.0,91,233.544617
42.0,42,233.591625
117.0,117,234.677243
500.0,500,237.238073
110.0,110,237.363401
60.0,60,238.415588
52.0,52,238.478466
50.0,50,238.542451
37.0,37,238.588806
11.0,11,238.604445
57.0,57,238.683905
83.0,83,239.768172
85.0,85,239.878173
85.0,85,239.972595
39.0,39,240.01976
42.0,42,241.041723
89.0,89,241.151359
90.0,90,241.260706
87.0,87,242.344434
48.0,48,242.407479
16.0,16,242.423194
16.0,16,242.438826
89.0,89,242.564515
83.0,83,243.632968
46.0,46,243.695981
11.0,11,243.711942
88.0,88,243.822756
37.0,37,243.853401
90.0,90,244.968618
94.0,94,245.079104
103.0,103,245.205131
84.0,84,246.257431
40.0,40,246.304553
29.0,29,246.336037
28.0,28,246.383364
94.0,94,247.453443
105.0,105,247.579931
151.0,151,248.759573
86.0,86,248.869768
87.0,87,248.980946
88.0,88,250.082733
55.0,55,250.145927
16.0,16,250.162
87.0,87,250.27241
87.0,87,251.341319
156.0,156,253.574985
428.0,428,256.059572
89.0,89,256.153874
63.0,63,256.23205
86.0,86,257.333027
54.0,54,257.396596
85.0,85,257.50707
54.0,54,258.530162
199.0,199,258.781355
140.0,140,259.913035
26.0,26,259.944734
89.0,89,260.054373
82.0,82,261.123905
329.0,329,262.490912
93.0,93,262.616783
99.0,99,263.684342
16.0,16,263.699967
13.0,13,263.715716
18.0,18,263.746974
14.0,14,263.764267
14.0,14,263.778778
11.0,11,263.794417
16.0,16,263.810042
23.0,23,263.841812
18.0,18,263.857445
16.0,16,263.888693
14.0,14,263.904496
14.0,14,263.920126
20.0,20,263.935845
500.0,500,266.512473
215.0,215,267.76919
19.0,19,267.784895
487.0,487,270.364168
255.0,255,271.685216
145.0,145,272.832562
28.0,28,272.864288
26.0,26,272.895983
106.0,106,273.021733
132.0,132,274.184672
500.0,500,276.801787
114.0,114,276.928737
106.0,106,278.060768
328.0,328,279.449117
32.0,32,279.497253
433.0,433,282.033954
94.0,94,282.160388
29.0,29,282.19208
245.0,245,283.482537
18.0,18,283.498176
138.0,138,284.650572
13.0,13,284.666487
24.0,24,284.698229
21.0,21,284.729619
14.0,14,284.745245
15.0,15,284.761146
17.0,17,284.792411
19.0,19,284.808276
24.0,24,284.840189
10.0,10,284.856007
219.0,219,286.099312
119.0,119,287.245592
37.0,37,287.292887
112.0,112,287.434306
439.0,439,289.951627
104.0,104,291.086227
106.0,106,291.212556
37.0,37,291.244138
41.0,41,291.307477
22.0,22,291.323109
36.0,36,291.370479
113.0,113,292.485909
120.0,120,292.658535
49.0,49,293.694688
23.0,23,293.72616
25.0,25,293.757676
39.0,39,293.789237
26.0,26,293.820619
30.0,30,293.851867
30.0,30,293.898979
34.0,34,293.931768
22.0,22,293.961915
288.0,288,296.303512
13.0,13,296.319394
120.0,120,296.46257
18.0,18,296.492716
19.0,19,296.508429
17.0,17,296.524463
500.0,500,299.10086
130.0,130,300.267016
122.0,122,300.424371
132.0,132,301.572257
